36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
11:43:25.1 (1080788)|HEAP_ALLOCATE|[72]|Bytes:3
11:43:25.1 (1168630)|HEAP_ALLOCATE|[77]|Bytes:152
11:43:25.1 (1185187)|HEAP_ALLOCATE|[342]|Bytes:408
11:43:25.1 (1202626)|HEAP_ALLOCATE|[355]|Bytes:408
11:43:25.1 (1218749)|HEAP_ALLOCATE|[467]|Bytes:48
11:43:25.3 (3869930)|STATEMENT_EXECUTE|[1]
11:43:25.3 (3917300)|HEAP_ALLOCATE|[50]|Bytes:5
11:43:25.3 (3946053)|HEAP_ALLOCATE|[56]|Bytes:5
11:43:25.3 (3955983)|HEAP_ALLOCATE|[64]|Bytes:7
11:43:25.3 (3985424)|SYSTEM_MODE_ENTER|false
11:43:25.3 (4006642)|HEAP_ALLOCATE|[9]|Bytes:5
11:43:25.3 (4012175)|STATEMENT_EXECUTE|[9]
11:43:25.3 (4020987)|HEAP_ALLOCATE|[9]|Bytes:4
11:43:25.3 (4044042)|ENTERING_MANAGED_PKG|
11:43:25.3 (4157028)|VARIABLE_ASSIGNMENT|[9]|PermissionSetPortalControllers.contactsField|{"s":1,"v":[]}|0x1e28205f
11:43:25.3 (4162347)|STATEMENT_EXECUTE|[10]
11:43:25.3 (4167886)|HEAP_ALLOCATE|[10]|Bytes:4
11:43:25.3 (4180368)|ENTERING_MANAGED_PKG|
11:43:25.3 (4215755)|VARIABLE_ASSIGNMENT|[10]|PermissionSetPortalControllers.accountField|{"s":1,"v":[]}|0x3d499900
11:43:25.3 (4220292)|STATEMENT_EXECUTE|[983]
11:43:25.3 (4221795)|STATEMENT_EXECUTE|[1012]
11:43:25.3 (4223073)|STATEMENT_EXECUTE|[1040]
11:43:25.3 (4224308)|STATEMENT_EXECUTE|[1069]
11:43:25.3 (4225372)|STATEMENT_EXECUTE|[1085]
11:43:25.3 (4226470)|STATEMENT_EXECUTE|[1102]
11:43:25.3 (4227548)|STATEMENT_EXECUTE|[1113]
11:43:25.3 (4228769)|STATEMENT_EXECUTE|[1118]
11:43:25.3 (4238872)|SYSTEM_MODE_EXIT|false
11:43:25.3 (4255631)|METHOD_EXIT|[1]|PermissionSetPortalControllers
11:43:25.3 (4262550)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
11:43:25.3 (4273215)|SYSTEM_MODE_ENTER|false
11:43:25.3 (4285299)|VARIABLE_SCOPE_BEGIN|[291]|PSetId|String|false|false
11:43:25.3 (4294781)|VARIABLE_ASSIGNMENT|[291]|PSetId|"0PS360000015WSaGAM"
11:43:25.3 (4309465)|HEAP_ALLOCATE|[292]|Bytes:5
11:43:25.3 (4313658)|STATEMENT_EXECUTE|[291]
11:43:25.3 (4315168)|STATEMENT_EXECUTE|[292]
11:43:25.3 (4316145)|STATEMENT_EXECUTE|[292]
11:43:25.3 (4317269)|STATEMENT_EXECUTE|[294]
11:43:25.3 (4320863)|HEAP_ALLOCATE|[294]|Bytes:29
11:43:25.3 (4334464)|HEAP_ALLOCATE|[294]|Bytes:47
11:43:25.3 (4362376)|ENTERING_MANAGED_PKG|
11:43:25.3 (4389680)|USER_DEBUG|[294]|DEBUG|Exec is in getAllObjectData: 0PS360000015WSaGAM
11:43:25.3 (4398070)|STATEMENT_EXECUTE|[298]
11:43:25.3 (4405842)|HEAP_ALLOCATE|[298]|Bytes:4
11:43:25.3 (4505069)|ENTERING_MANAGED_PKG|
11:43:25.3 (4524102)|VARIABLE_SCOPE_BEGIN|[298]|objectDetailsClassList|List<shiva15testns.PermissionSetPortalControllers.ObjectDetailsClass>|true|false
11:43:25.3 (4551243)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:43:25.3 (4563962)|VARIABLE_ASSIGNMENT|[298]|objectDetailsClassList|{"s":1,"v":[]}|0x5d177c52
11:43:25.3 (4567258)|STATEMENT_EXECUTE|[300]
11:43:25.3 (4571536)|HEAP_ALLOCATE|[301]|Bytes:257
11:43:25.3 (4584479)|HEAP_ALLOCATE|[301]|Bytes:4
11:43:25.3 (4594507)|HEAP_ALLOCATE|[301]|Bytes:7
11:43:25.3 (6074495)|SOQL_EXECUTE_BEGIN|[301]|Aggregations:0|SELECT Id, ParentId, Parent.Name, Parent.PermissionsTransferAnyLead, SobjectType, PermissionsCreate, PermissionsDelete, PermissionsEdit, PermissionsModifyAllRecords, PermissionsRead, PermissionsViewAllRecords FROM ObjectPermissions WHERE ParentId = :tmpVar1
11:43:25.3 (27276241)|SOQL_EXECUTE_END|[301]|Rows:0
11:43:25.3 (27305494)|HEAP_ALLOCATE|[301]|Bytes:4
11:43:25.3 (27322113)|HEAP_ALLOCATE|[301]|Bytes:0
11:43:25.3 (27429103)|HEAP_ALLOCATE|[301]|Bytes:4
11:43:25.3 (27450175)|VARIABLE_SCOPE_BEGIN|[300]|AllPermissionsonObjsofPset|List<ObjectPermissions>|true|false
11:43:25.3 (27476164)|VARIABLE_ASSIGNMENT|[300]|AllPermissionsonObjsofPset|{"s":1,"v":[]}|0x52dab6cb
11:43:25.3 (27568599)|ENTERING_MANAGED_PKG|
11:43:25.3 (27611137)|STATEMENT_EXECUTE|[335]
11:43:25.3 (27613883)|STATEMENT_EXECUTE|[336]
11:43:25.3 (27618953)|HEAP_ALLOCATE|[336]|Bytes:45
11:43:25.3 (27637169)|ENTERING_MANAGED_PKG|
11:43:25.3 (27661315)|USER_DEBUG|[336]|DEBUG|No Permissions concerened to individual Psets
11:43:25.3 (27669367)|STATEMENT_EXECUTE|[337]
11:43:25.3 (27674248)|HEAP_ALLOCATE|[337]|Bytes:21
11:43:25.3 (27684721)|ENTERING_MANAGED_PKG|
11:43:25.3 (27697438)|USER_DEBUG|[337]|DEBUG|calling getAllObjects
11:43:25.3 (27703592)|STATEMENT_EXECUTE|[338]
11:43:25.3 (27719799)|METHOD_ENTRY|[338]|01p36000005Jpvx|shiva15testns.PermissionSetPortalControllers.getAllObjects()
11:43:25.3 (27746224)|HEAP_ALLOCATE|[202]|Bytes:5
11:43:25.3 (27750359)|STATEMENT_EXECUTE|[201]
11:43:25.3 (27751915)|STATEMENT_EXECUTE|[202]
11:43:25.3 (27753023)|STATEMENT_EXECUTE|[202]
11:43:25.3 (27754116)|STATEMENT_EXECUTE|[203]
11:43:25.3 (27774955)|ENTERING_MANAGED_PKG|
11:43:25.3 (36782037)|HEAP_ALLOCATE|[203]|Bytes:1420
11:43:25.3 (36803288)|VARIABLE_SCOPE_BEGIN|[203]|allObjectsofOrgFromGlobalDescribe|Map<String,Schema.SObjectType>|true|false
11:43:25.3 (37033029)|VARIABLE_ASSIGNMENT|[203]|allObjectsofOrgFromGlobalDescribe|"{acceptedeventrelation=AcceptedEventRelation, account=Account, accountcleaninfo=AccountCleanInfo, accountcontactrole=AccountContactRole, accountfeed=AccountFeed, accounthistory=AccountHistory, accountpartner=AccountPartner, accountshare=AccountShare, actionlinkgrouptemplate=ActionLinkGroupTemplate, actionlinktemplate=ActionLinkTemplate, ...}"|0x23cef417
11:43:25.3 (37045319)|STATEMENT_EXECUTE|[205]
11:43:25.3 (37058401)|HEAP_ALLOCATE|[205]|Bytes:4
11:43:25.3 (37078886)|ENTERING_MANAGED_PKG|
11:43:25.3 (37133071)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:43:25.3 (37152938)|VARIABLE_ASSIGNMENT|[205]|PermissionSetPortalControllers.allObjectsOfOrg|{"s":1,"v":[]}|0x6ad757ec
11:43:25.3 (37156738)|STATEMENT_EXECUTE|[207]
11:43:25.3 (37164914)|HEAP_ALLOCATE|[207]|Bytes:4
11:43:25.3 (37182127)|ENTERING_MANAGED_PKG|
11:43:25.3 (37199599)|VARIABLE_SCOPE_BEGIN|[207]|objAPINamesList|List<String>|true|false
11:43:25.3 (37230993)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:43:25.3 (37240813)|VARIABLE_ASSIGNMENT|[207]|objAPINamesList|{"s":1,"v":[]}|0x43cb73b9
11:43:25.3 (37261805)|ENTERING_MANAGED_PKG|
11:43:25.3 (37288134)|STATEMENT_EXECUTE|[211]
11:43:25.3 (37290294)|STATEMENT_EXECUTE|[213]
11:43:25.3 (37367568)|VARIABLE_SCOPE_BEGIN|[213]|objectClassObj|shiva15testns.PermissionSetPortalControllers.ObjectDetailsClass|true|false
11:43:25.3 (37377476)|VARIABLE_ASSIGNMENT|[213]|objectClassObj|null|
11:43:25.3 (37379987)|STATEMENT_EXECUTE|[217]
11:43:25.3 (37395733)|METHOD_ENTRY|[217]|01p36000005Jpvx|shiva15testns.PermissionSetPortalControllers.addSObjNamesToList()
11:43:25.3 (37432366)|HEAP_ALLOCATE|[13]|Bytes:5
11:43:25.3 (37436949)|STATEMENT_EXECUTE|[12]
11:43:25.3 (37438643)|STATEMENT_EXECUTE|[13]
11:43:25.3 (37442340)|HEAP_ALLOCATE|[13]|Bytes:29
11:43:25.3 (37458206)|ENTERING_MANAGED_PKG|
11:43:25.3 (37479011)|USER_DEBUG|[13]|DEBUG|Exec is in addSObjNamesToList
11:43:25.3 (37486485)|STATEMENT_EXECUTE|[14]
11:43:25.3 (37496771)|METHOD_ENTRY|[14]|01p36000005Jpvx|shiva15testns.PermissionSetPortalControllers.addTotallyAccessibleObjs()
11:43:25.3 (37518968)|HEAP_ALLOCATE|[18]|Bytes:5
11:43:25.3 (37522728)|STATEMENT_EXECUTE|[17]
11:43:25.3 (37524469)|STATEMENT_EXECUTE|[18]
11:43:25.3 (37528746)|HEAP_ALLOCATE|[18]|Bytes:4
11:43:25.3 (37538747)|ENTERING_MANAGED_PKG|
11:43:25.3 (37554152)|VARIABLE_SCOPE_BEGIN|[18]|objswithNietherObjorFieldPermissions|List<String>|true|false
11:43:25.3 (37568832)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:43:25.3 (37578948)|VARIABLE_ASSIGNMENT|[18]|objswithNietherObjorFieldPermissions|{"s":1,"v":[]}|0x2d1b3b49
11:43:25.3 (37582253)|STATEMENT_EXECUTE|[19]
11:43:25.3 (37586223)|HEAP_ALLOCATE|[19]|Bytes:8
11:43:25.3 (37600420)|ENTERING_MANAGED_PKG|
11:43:25.3 (37626231)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:43:25.3 (37634124)|STATEMENT_EXECUTE|[28]
11:43:25.3 (37637820)|HEAP_ALLOCATE|[28]|Bytes:8
11:43:25.3 (37647212)|ENTERING_MANAGED_PKG|
11:43:25.3 (37663260)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:43:25.3 (37669153)|STATEMENT_EXECUTE|[84]
11:43:25.3 (37677629)|HEAP_ALLOCATE|[84]|Bytes:4
11:43:25.3 (37692694)|ENTERING_MANAGED_PKG|
11:43:25.3 (37714443)|HEAP_ALLOCATE|[84]|Bytes:8
11:43:25.3 (37721169)|HEAP_ALLOCATE|[84]|Bytes:8
11:43:25.3 (37728597)|VARIABLE_SCOPE_BEGIN|[84]|valToReturn|Set<String>|true|false
11:43:25.3 (37752567)|VARIABLE_ASSIGNMENT|[84]|valToReturn|{"s":1,"v":["Accounts","Contacts"]}|0x21ff419b
11:43:25.3 (37756056)|STATEMENT_EXECUTE|[85]
11:43:25.3 (37765987)|METHOD_EXIT|[14]|01p36000005Jpvx|shiva15testns.PermissionSetPortalControllers.addTotallyAccessibleObjs()
11:43:25.3 (37787814)|VARIABLE_ASSIGNMENT|[14]|PermissionSetPortalControllers.isNotSystemSObjectList|{"s":1,"v":["Accounts","Contacts"]}|0x21ff419b
11:43:25.3 (37796796)|METHOD_EXIT|[217]|01p36000005Jpvx|shiva15testns.PermissionSetPortalControllers.addSObjNamesToList()
11:43:25.3 (37804572)|HEAP_ALLOCATE|[219]|Bytes:4
11:43:25.3 (37815513)|ENTERING_MANAGED_PKG|
11:43:25.3 (37837676)|ENTERING_MANAGED_PKG|
11:43:25.3 (37909982)|HEAP_ALLOCATE|[219]|Bytes:6720
11:43:25.3 (37927532)|ENTERING_MANAGED_PKG|
11:43:25.3 (37967713)|HEAP_ALLOCATE|[219]|Bytes:1416
11:43:25.3 (37979986)|ENTERING_MANAGED_PKG|
11:43:25.3 (38093259)|HEAP_ALLOCATE|[219]|Bytes:5
11:43:25.3 (38115739)|VARIABLE_SCOPE_BEGIN|[219]|key|String|false|false
11:43:25.3 (38123613)|VARIABLE_ASSIGNMENT|[219]|key|"contract"
11:43:25.3 (38126660)|STATEMENT_EXECUTE|[219]
11:43:25.3 (38127943)|STATEMENT_EXECUTE|[221]
11:43:25.3 (38138296)|ENTERING_MANAGED_PKG|
11:43:25.3 (38794792)|HEAP_ALLOCATE|[221]|Bytes:4
11:43:25.3 (38840318)|VARIABLE_SCOPE_BEGIN|[221]|sObjResult|Schema.DescribeSObjectResult|true|false
11:43:25.3 (38909077)|VARIABLE_ASSIGNMENT|[221]|sObjResult|"common.api.soap.wsdl.DescribeSObjectResult@56856ddf"|0x47fb3472
11:43:25.3 (38961557)|HEAP_ALLOCATE|[224]|Bytes:9
11:43:25.3 (38979902)|ENTERING_MANAGED_PKG|
11:43:25.3 (39008385)|STATEMENT_EXECUTE|[230]
11:43:25.3 (39011290)|STATEMENT_EXECUTE|[231]
11:43:25.3 (39015921)|HEAP_ALLOCATE|[231]|Bytes:49
11:43:25.3 (39026138)|HEAP_ALLOCATE|[231]|Bytes:9
11:43:25.3 (39038443)|HEAP_ALLOCATE|[231]|Bytes:58
11:43:25.3 (39055527)|ENTERING_MANAGED_PKG|
11:43:25.3 (39074205)|USER_DEBUG|[231]|DEBUG|obj is NOT accessible, queryable and NON Custom: Contracts
11:43:25.3 (39090878)|HEAP_ALLOCATE|[219]|Bytes:5
