36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
13:16:51.2 (2054996)|EXECUTION_STARTED
13:16:51.2 (2075367)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
13:16:51.2 (6530657)|METHOD_ENTRY|[1]|01p36000005Jpvx|PermissionSetPortalControllers.PermissionSetPortalControllers()
13:16:51.2 (6575654)|METHOD_EXIT|[1]|PermissionSetPortalControllers
13:16:51.2 (6613706)|METHOD_ENTRY|[1]|01p36000005Jpvx|shiva15testns.PermissionSetPortalControllers.getallObjectandFieldDetails(String)
13:16:51.2 (7610486)|SOQL_EXECUTE_BEGIN|[197]|Aggregations:0|SELECT ParentId, Parent.Name, Parent.PermissionsTransferAnyLead, SobjectType, PermissionsCreate, PermissionsDelete, PermissionsEdit, PermissionsModifyAllRecords, PermissionsRead, PermissionsViewAllRecords FROM ObjectPermissions WHERE ParentId = :tmpVar1
13:16:51.2 (41315039)|SOQL_EXECUTE_END|[197]|Rows:3
13:16:51.2 (72605488)|METHOD_ENTRY|[203]|01p36000005Jpvx|shiva15testns.PermissionSetPortalControllers.addSObjNamesToList()
13:16:51.2 (75969277)|METHOD_EXIT|[203]|01p36000005Jpvx|shiva15testns.PermissionSetPortalControllers.addSObjNamesToList()
13:16:51.2 (79204451)|CONSTRUCTOR_ENTRY|[255]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
13:16:51.2 (80127933)|CONSTRUCTOR_EXIT|[255]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
13:16:51.2 (80441241)|CONSTRUCTOR_ENTRY|[256]|01p36000005Jpvx|<init>(String,String,String,String,String,shiva15testns.PermissionSetPortalControllers.ObjectPermissionsClass,List<shiva15testns.PermissionSetPortalControllers.FieldDetailsClass>)
13:16:51.2 (80659367)|CONSTRUCTOR_EXIT|[256]|01p36000005Jpvx|<init>(String,String,String,String,String,shiva15testns.PermissionSetPortalControllers.ObjectPermissionsClass,List<shiva15testns.PermissionSetPortalControllers.FieldDetailsClass>)
13:16:51.2 (81029205)|CONSTRUCTOR_ENTRY|[255]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
13:16:51.2 (81406480)|CONSTRUCTOR_EXIT|[255]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
