36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
19:07:55.0 (114827)|EXECUTION_STARTED
19:07:55.0 (162046)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000005Jpvx|PermissionSetPortalControllers.getAllPermissionSets
19:07:55.0 (337564)|VARIABLE_SCOPE_BEGIN|[3]|PermissionSetPortalControllers.AllPermissionSets|List<PermissionSet>|true|true
19:07:55.0 (540439)|VARIABLE_SCOPE_BEGIN|[10]|PermissionSetPortalControllers.accountField|Set<String>|true|true
19:07:55.0 (549738)|VARIABLE_SCOPE_BEGIN|[5]|PermissionSetPortalControllers.allObjectsOfOrg|List<shiva15testns.PermissionSetPortalControllers.ObjectDetailsClass>|true|true
19:07:55.0 (558877)|VARIABLE_SCOPE_BEGIN|[9]|PermissionSetPortalControllers.contactsField|Set<String>|true|true
19:07:55.0 (566218)|VARIABLE_SCOPE_BEGIN|[7]|PermissionSetPortalControllers.isNotSystemSObjectList|Set<String>|true|true
19:07:55.0 (920546)|HEAP_ALLOCATE|[72]|Bytes:3
19:07:55.0 (1004671)|HEAP_ALLOCATE|[77]|Bytes:152
19:07:55.0 (1034731)|HEAP_ALLOCATE|[342]|Bytes:408
19:07:55.0 (1070599)|HEAP_ALLOCATE|[355]|Bytes:408
19:07:55.0 (1105152)|HEAP_ALLOCATE|[467]|Bytes:48
19:07:55.0 (1212069)|HEAP_ALLOCATE|[139]|Bytes:6
19:07:55.0 (1254527)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:168
19:07:55.0 (1294739)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:89
19:07:55.0 (1302196)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:344
19:07:55.0 (1539091)|METHOD_ENTRY|[1]|01p36000005Jpvx|PermissionSetPortalControllers.PermissionSetPortalControllers()
19:07:55.0 (1548028)|STATEMENT_EXECUTE|[1]
19:07:55.0 (1560148)|STATEMENT_EXECUTE|[1]
19:07:55.0 (1606965)|HEAP_ALLOCATE|[50]|Bytes:5
19:07:55.0 (1637458)|HEAP_ALLOCATE|[56]|Bytes:5
19:07:55.0 (1654409)|HEAP_ALLOCATE|[64]|Bytes:7
19:07:55.0 (1687438)|SYSTEM_MODE_ENTER|false
19:07:55.0 (1714042)|HEAP_ALLOCATE|[9]|Bytes:5
19:07:55.0 (1720872)|STATEMENT_EXECUTE|[9]
19:07:55.0 (1748724)|HEAP_ALLOCATE|[9]|Bytes:4
19:07:55.0 (1864702)|ENTERING_MANAGED_PKG|
19:07:55.0 (2067409)|VARIABLE_ASSIGNMENT|[9]|PermissionSetPortalControllers.contactsField|{"s":1,"v":[]}|0x2b77d340
19:07:55.0 (2075856)|STATEMENT_EXECUTE|[10]
19:07:55.0 (2084213)|HEAP_ALLOCATE|[10]|Bytes:4
19:07:55.0 (2104176)|ENTERING_MANAGED_PKG|
19:07:55.0 (2157759)|VARIABLE_ASSIGNMENT|[10]|PermissionSetPortalControllers.accountField|{"s":1,"v":[]}|0x908c95e
19:07:55.0 (2164071)|STATEMENT_EXECUTE|[1037]
19:07:55.0 (2166834)|STATEMENT_EXECUTE|[1066]
19:07:55.0 (2169177)|STATEMENT_EXECUTE|[1094]
19:07:55.0 (2171921)|STATEMENT_EXECUTE|[1123]
19:07:55.0 (2174132)|STATEMENT_EXECUTE|[1139]
19:07:55.0 (2176269)|STATEMENT_EXECUTE|[1156]
