36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
15:51:34.1 (1708115)|EXECUTION_STARTED
15:51:34.1 (1721528)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
15:51:34.1 (6588746)|METHOD_ENTRY|[1]|01p36000005Jpvx|PermissionSetPortalControllers.PermissionSetPortalControllers()
15:51:34.1 (6636453)|METHOD_EXIT|[1]|PermissionSetPortalControllers
15:51:34.1 (6674700)|METHOD_ENTRY|[1]|01p36000005Jpvx|shiva15testns.PermissionSetPortalControllers.getallObjectandFieldDetails(String)
15:51:34.1 (7495895)|SOQL_EXECUTE_BEGIN|[197]|Aggregations:0|SELECT ParentId, Parent.Name, Parent.PermissionsTransferAnyLead, SobjectType, PermissionsCreate, PermissionsDelete, PermissionsEdit, PermissionsModifyAllRecords, PermissionsRead, PermissionsViewAllRecords FROM ObjectPermissions WHERE ParentId = :tmpVar1
15:51:34.1 (25215909)|SOQL_EXECUTE_END|[197]|Rows:3
15:51:34.1 (34336624)|METHOD_ENTRY|[203]|01p36000005Jpvx|shiva15testns.PermissionSetPortalControllers.addSObjNamesToList()
15:51:34.1 (37549195)|METHOD_EXIT|[203]|01p36000005Jpvx|shiva15testns.PermissionSetPortalControllers.addSObjNamesToList()
15:51:34.1 (40116052)|CONSTRUCTOR_ENTRY|[251]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
15:51:34.1 (40889763)|CONSTRUCTOR_EXIT|[251]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
15:51:34.1 (41164759)|CONSTRUCTOR_ENTRY|[252]|01p36000005Jpvx|<init>(String,String,String,String,String,shiva15testns.PermissionSetPortalControllers.ObjectPermissionsClass,List<shiva15testns.PermissionSetPortalControllers.FieldDetailsClass>)
15:51:34.1 (41389012)|CONSTRUCTOR_EXIT|[252]|01p36000005Jpvx|<init>(String,String,String,String,String,shiva15testns.PermissionSetPortalControllers.ObjectPermissionsClass,List<shiva15testns.PermissionSetPortalControllers.FieldDetailsClass>)
15:51:34.1 (41625826)|CONSTRUCTOR_ENTRY|[251]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
15:51:34.1 (41973690)|CONSTRUCTOR_EXIT|[251]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
15:51:34.1 (42027093)|CONSTRUCTOR_ENTRY|[252]|01p36000005Jpvx|<init>(String,String,String,String,String,shiva15testns.PermissionSetPortalControllers.ObjectPermissionsClass,List<shiva15testns.PermissionSetPortalControllers.FieldDetailsClass>)
15:51:34.1 (42177133)|CONSTRUCTOR_EXIT|[252]|01p36000005Jpvx|<init>(String,String,String,String,String,shiva15testns.PermissionSetPortalControllers.ObjectPermissionsClass,List<shiva15testns.PermissionSetPortalControllers.FieldDetailsClass>)
15:51:34.1 (42361315)|CONSTRUCTOR_ENTRY|[251]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
15:51:34.1 (42711534)|CONSTRUCTOR_EXIT|[251]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
15:51:34.1 (42762573)|CONSTRUCTOR_ENTRY|[252]|01p36000005Jpvx|<init>(String,String,String,String,String,shiva15testns.PermissionSetPortalControllers.ObjectPermissionsClass,List<shiva15testns.PermissionSetPortalControllers.FieldDetailsClass>)
15:51:34.1 (42911476)|CONSTRUCTOR_EXIT|[252]|01p36000005Jpvx|<init>(String,String,String,String,String,shiva15testns.PermissionSetPortalControllers.ObjectPermissionsClass,List<shiva15testns.PermissionSetPortalControllers.FieldDetailsClass>)
15:51:34.1 (44014939)|CONSTRUCTOR_ENTRY|[251]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
15:51:34.1 (44366159)|CONSTRUCTOR_EXIT|[251]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
15:51:34.1 (44421827)|CONSTRUCTOR_ENTRY|[252]|01p36000005Jpvx|<init>(String,String,String,String,String,shiva15testns.PermissionSetPortalControllers.ObjectPermissionsClass,List<shiva15testns.PermissionSetPortalControllers.FieldDetailsClass>)
15:51:34.1 (44576141)|CONSTRUCTOR_EXIT|[252]|01p36000005Jpvx|<init>(String,String,String,String,String,shiva15testns.PermissionSetPortalControllers.ObjectPermissionsClass,List<shiva15testns.PermissionSetPortalControllers.FieldDetailsClass>)
15:51:34.1 (44740465)|CONSTRUCTOR_ENTRY|[251]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
15:51:34.1 (45081142)|CONSTRUCTOR_EXIT|[251]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
15:51:34.1 (45131904)|CONSTRUCTOR_ENTRY|[252]|01p36000005Jpvx|<init>(String,String,String,String,String,shiva15testns.PermissionSetPortalControllers.ObjectPermissionsClass,List<shiva15testns.PermissionSetPortalControllers.FieldDetailsClass>)
15:51:34.1 (45279828)|CONSTRUCTOR_EXIT|[252]|01p36000005Jpvx|<init>(String,String,String,String,String,shiva15testns.PermissionSetPortalControllers.ObjectPermissionsClass,List<shiva15testns.PermissionSetPortalControllers.FieldDetailsClass>)
15:51:34.1 (45446979)|CONSTRUCTOR_ENTRY|[251]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
15:51:34.1 (45789385)|CONSTRUCTOR_EXIT|[251]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
15:51:34.1 (45839184)|CONSTRUCTOR_ENTRY|[252]|01p36000005Jpvx|<init>(String,String,String,String,String,shiva15testns.PermissionSetPortalControllers.ObjectPermissionsClass,List<shiva15testns.PermissionSetPortalControllers.FieldDetailsClass>)
15:51:34.1 (45984377)|CONSTRUCTOR_EXIT|[252]|01p36000005Jpvx|<init>(String,String,String,String,String,shiva15testns.PermissionSetPortalControllers.ObjectPermissionsClass,List<shiva15testns.PermissionSetPortalControllers.FieldDetailsClass>)
15:51:34.1 (47338563)|CONSTRUCTOR_ENTRY|[251]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
15:51:34.1 (47691591)|CONSTRUCTOR_EXIT|[251]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
