36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
18:45:28.0 (72366)|EXECUTION_STARTED
18:45:28.0 (103006)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000005Jpvx|PermissionSetPortalControllers.getAllPermissionSets
18:45:28.0 (227046)|VARIABLE_SCOPE_BEGIN|[3]|PermissionSetPortalControllers.AllPermissionSets|List<PermissionSet>|true|true
18:45:28.0 (241166)|VARIABLE_SCOPE_BEGIN|[10]|PermissionSetPortalControllers.accountField|Set<String>|true|true
18:45:28.0 (245039)|VARIABLE_SCOPE_BEGIN|[5]|PermissionSetPortalControllers.allObjectsOfOrg|List<shiva15testns.PermissionSetPortalControllers.ObjectDetailsClass>|true|true
18:45:28.0 (248920)|VARIABLE_SCOPE_BEGIN|[9]|PermissionSetPortalControllers.contactsField|Set<String>|true|true
18:45:28.0 (251559)|VARIABLE_SCOPE_BEGIN|[7]|PermissionSetPortalControllers.isNotSystemSObjectList|Set<String>|true|true
18:45:28.0 (565963)|HEAP_ALLOCATE|[72]|Bytes:3
18:45:28.0 (625329)|HEAP_ALLOCATE|[77]|Bytes:152
18:45:28.0 (645225)|HEAP_ALLOCATE|[342]|Bytes:408
18:45:28.0 (665965)|HEAP_ALLOCATE|[355]|Bytes:408
18:45:28.0 (685461)|HEAP_ALLOCATE|[467]|Bytes:48
18:45:28.0 (719638)|HEAP_ALLOCATE|[139]|Bytes:6
18:45:28.0 (743193)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:168
18:45:28.0 (749505)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:89
18:45:28.0 (753709)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:344
18:45:28.0 (914745)|METHOD_ENTRY|[1]|01p36000005Jpvx|PermissionSetPortalControllers.PermissionSetPortalControllers()
18:45:28.0 (920625)|STATEMENT_EXECUTE|[1]
18:45:28.0 (928673)|STATEMENT_EXECUTE|[1]
18:45:28.0 (972995)|HEAP_ALLOCATE|[50]|Bytes:5
18:45:28.0 (1002510)|HEAP_ALLOCATE|[56]|Bytes:5
18:45:28.0 (1013751)|HEAP_ALLOCATE|[64]|Bytes:7
18:45:28.0 (1038804)|SYSTEM_MODE_ENTER|false
18:45:28.0 (1061408)|HEAP_ALLOCATE|[9]|Bytes:5
18:45:28.0 (1066224)|STATEMENT_EXECUTE|[9]
18:45:28.0 (1074309)|HEAP_ALLOCATE|[9]|Bytes:4
18:45:28.0 (1115343)|ENTERING_MANAGED_PKG|
18:45:28.0 (1224967)|VARIABLE_ASSIGNMENT|[9]|PermissionSetPortalControllers.contactsField|{"s":1,"v":[]}|0x718b4cb5
18:45:28.0 (1230078)|STATEMENT_EXECUTE|[10]
18:45:28.0 (1235704)|HEAP_ALLOCATE|[10]|Bytes:4
18:45:28.0 (1250340)|ENTERING_MANAGED_PKG|
18:45:28.0 (1287566)|VARIABLE_ASSIGNMENT|[10]|PermissionSetPortalControllers.accountField|{"s":1,"v":[]}|0x66aa74fb
18:45:28.0 (1291783)|STATEMENT_EXECUTE|[1037]
18:45:28.0 (1293312)|STATEMENT_EXECUTE|[1066]
18:45:28.0 (1294583)|STATEMENT_EXECUTE|[1094]
18:45:28.0 (1296080)|STATEMENT_EXECUTE|[1123]
18:45:28.0 (1297321)|STATEMENT_EXECUTE|[1139]
18:45:28.0 (1298645)|STATEMENT_EXECUTE|[1156]
18:45:28.0 (1299843)|STATEMENT_EXECUTE|[1167]
18:45:28.0 (1300954)|STATEMENT_EXECUTE|[1172]
18:45:28.0 (1309363)|SYSTEM_MODE_EXIT|false
18:45:28.0 (1322241)|METHOD_EXIT|[1]|PermissionSetPortalControllers
18:45:28.0 (1331279)|SYSTEM_MODE_ENTER|false
18:45:28.0 (1348803)|HEAP_ALLOCATE|[157]|Bytes:5
18:45:28.0 (1353505)|STATEMENT_EXECUTE|[156]
18:45:28.0 (1354887)|STATEMENT_EXECUTE|[157]
18:45:28.0 (1355907)|STATEMENT_EXECUTE|[157]
18:45:28.0 (1357105)|STATEMENT_EXECUTE|[158]
18:45:28.0 (1360482)|HEAP_ALLOCATE|[158]|Bytes:99
18:45:28.0 (1372464)|HEAP_ALLOCATE|[158]|Bytes:4
18:45:28.0 (2055298)|SOQL_EXECUTE_BEGIN|[158]|Aggregations:0|SELECT Id, label, Name, Description, NamespacePrefix, UserLicenseId, CreatedDate FROM PermissionSet
18:45:28.0 (5738096)|SOQL_EXECUTE_END|[158]|Rows:40
18:45:28.0 (5756326)|HEAP_ALLOCATE|[158]|Bytes:164
