36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
14:00:06.4 (4791584)|METHOD_EXIT|[1]|PermissionSetPortalControllers
14:00:06.4 (7084053)|SOQL_EXECUTE_BEGIN|[203]|Aggregations:0|SELECT ParentId, Parent.Name, Parent.PermissionsTransferAnyLead, SobjectType, PermissionsCreate, PermissionsDelete, PermissionsEdit, PermissionsModifyAllRecords, PermissionsRead, PermissionsViewAllRecords FROM ObjectPermissions WHERE ParentId = :tmpVar1
14:00:06.4 (33719891)|SOQL_EXECUTE_END|[203]|Rows:17
14:00:06.4 (35643899)|CONSTRUCTOR_ENTRY|[212]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
14:00:06.4 (36466429)|CONSTRUCTOR_EXIT|[212]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
14:00:06.4 (36553151)|CONSTRUCTOR_ENTRY|[213]|01p36000005Jpvx|<init>(String,String,String,String)
14:00:06.4 (37032780)|CONSTRUCTOR_EXIT|[213]|01p36000005Jpvx|<init>(String,String,String,String)
14:00:06.4 (37121898)|CONSTRUCTOR_ENTRY|[215]|01p36000005Jpvx|<init>(shiva15testns.PermissionSetPortalControllers.ObjectClass,String,shiva15testns.PermissionSetPortalControllers.ObjectPermissionsClass)
14:00:06.4 (37572966)|CONSTRUCTOR_EXIT|[215]|01p36000005Jpvx|<init>(shiva15testns.PermissionSetPortalControllers.ObjectClass,String,shiva15testns.PermissionSetPortalControllers.ObjectPermissionsClass)
14:00:06.4 (37859695)|CONSTRUCTOR_ENTRY|[212]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
14:00:06.4 (38181220)|CONSTRUCTOR_EXIT|[212]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
14:00:06.4 (38225427)|CONSTRUCTOR_ENTRY|[213]|01p36000005Jpvx|<init>(String,String,String,String)
14:00:06.4 (38415634)|CONSTRUCTOR_EXIT|[213]|01p36000005Jpvx|<init>(String,String,String,String)
14:00:06.4 (38458438)|CONSTRUCTOR_ENTRY|[215]|01p36000005Jpvx|<init>(shiva15testns.PermissionSetPortalControllers.ObjectClass,String,shiva15testns.PermissionSetPortalControllers.ObjectPermissionsClass)
14:00:06.4 (38674998)|CONSTRUCTOR_EXIT|[215]|01p36000005Jpvx|<init>(shiva15testns.PermissionSetPortalControllers.ObjectClass,String,shiva15testns.PermissionSetPortalControllers.ObjectPermissionsClass)
14:00:06.4 (38911671)|CONSTRUCTOR_ENTRY|[212]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
14:00:06.4 (39232230)|CONSTRUCTOR_EXIT|[212]|01p36000005Jpvx|<init>(Boolean,Boolean,Boolean,Boolean,Boolean,Boolean)
